Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Clean,Sentiment_Group,post_length
 Sharing love and positive vibes with everyone! ❤️      ,Love,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,14,8,love,Joy,56
 An amusing incident brightened up my day!               ,Amusement,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0,UK,2023,2,14,14,amusement,Joy,57
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023,2,14,19,enjoyment,Joy,57
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0,USA,2023,2,15,11,admiration,Joy,57
 Sending affectionate vibes to all my followers!          ,Affection,2023-02-15 16:00:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,affection,Joy,58
 Experiencing awe at the breathtaking sunset.            ,Awe,2023-02-15 20:30:00, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Australia,2023,2,15,20,awe,Joy,57
 Disappointed with the service at a local restaurant.    ,Disappointed,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023,2,16,9,disappointed,Sadness,57
 A surprise gift from a friend made my day!              ,Surprise,2023-02-16 14:45:00, HappySurprise   ,Instagram, #Surprise #Gift                              ,25.0,50.0,USA,2023,2,16,14,surprise,Neutral/Other,57
 Finding acceptance in the midst of life's challenges.   ,Acceptance,2023-02-16 18:20:00, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canada,2023,2,16,18,acceptance,Neutral/Other,57
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0,UK,2023,2,17,10,adoration,Joy,56
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation,2023-02-17 07:30:00, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,anticipation,Neutral/Other,57
 A bitter experience turned into a valuable lesson.      ,Bitter,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0,USA,2023,2,17,15,bitter,Anger,57
 Finding calmness in the midst of a busy day.            ,Calmness,2023-02-18 09:30:00, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023,2,18,9,calmness,Neutral/Other,57
 Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,UK,2023,2,18,14,confusion,Neutral/Other,58
 Excitement building up for the upcoming vacation!       ,Excitement,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023,2,18,18,excitement,Joy,57
 Kindness witnessed today restored my faith in humanity. ,Kind,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,USA,2023,2,19,11,kind,Joy,57
 Pride in achieving a personal milestone.               ,Pride,2023-02-19 16:00:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Australia,2023,2,19,16,pride,Joy,56
 A moment of shame for not standing up against injustice. ,Shame,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,19,19,shame,Guilt,58
 Fuming with anger after a heated argument.            ,Anger,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0,Canada,2023,2,20,9,anger,Anger,55
 The fear of the unknown is keeping me up at night.    ,Fear,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0,USA,2023,2,20,21,fear,Fear,55
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023,2,21,14,sadness,Sadness,60
 The state of corruption in our society is utterly disgusting. ,Disgust,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0,UK,2023,2,21,18,disgust,Anger,63
 Overflowing happiness: welcoming a new family member!  ,Happiness,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,UK,2023,2,22,10,happiness,Joy,56
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023,2,22,19,joy,Joy,62
 Sending love to all my followers on this beautiful day! ❤️ ,Love,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,23,8,love,Joy,60
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0,UK,2023,2,23,14,amusement,Joy,58
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0,USA,2023,2,23,19,enjoyment,Joy,57
 Admiring the dedication of volunteers at a local charity. ,Admiration,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0,USA,2023,2,24,11,admiration,Joy,59
 Sending affectionate vibes to friends and family.        ,Affection,2023-02-24 16:00:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,affection,Joy,58
 Awe-struck by the beauty of the night sky.               ,Awe,2023-02-24 20:30:00, Stargazer       ,Facebook, #Awe #StarryNight                        ,22.0,45.0,Australia,2023,2,24,20,awe,Joy,58
 Disappointed with the lack of progress in a personal project. ,Disappointed,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023,2,25,9,disappointed,Sadness,63
 A surprise visit from an old friend brought tears of joy. ,Surprise,2023-02-25 14:45:00, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25.0,50.0,USA,2023,2,25,14,surprise,Neutral/Other,59
 Embracing acceptance of life's ups and downs.           ,Acceptance,2023-02-25 18:20:00, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023,2,25,18,acceptance,Neutral/Other,57
 Overflowing adoration for a cute rescue puppy! 🐶       ,Adoration,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,UK,2023,2,26,10,adoration,Joy,56
 Anticipating the release of a much-awaited movie.       ,Anticipation,2023-02-26 07:30:00, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Australia,2023,2,26,7,anticipation,Neutral/Other,57
 Bitter experience at the customer service department.   ,Bitter,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,USA,2023,2,26,15,bitter,Anger,57
 Finding calmness amidst the chaos of daily life.        ,Calmness,2023-02-27 09:30:00, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023,2,27,9,calmness,Neutral/Other,57
 Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25.0,50.0,UK,2023,2,27,14,confusion,Neutral/Other,58
 Excitement building up for a surprise birthday party.   ,Excitement,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023,2,27,18,excitement,Joy,57
 Witnessed an act of kindness that made my day.          ,Kind,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,USA,2023,2,28,11,kind,Joy,57
 Pride in completing a challenging fitness challenge.    ,Pride,2023-02-28 16:00:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,UK,2023,2,28,16,pride,Joy,57
 A moment of shame for not speaking up against injustice.,Shame,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,28,19,shame,Guilt,57
 Reflecting on the beauty of diversity in our world.     ,Acceptance,2023-03-01 10:45:00, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Australia,2023,3,1,10,acceptance,Neutral/Other,57
 Excitement for a quiet evening with a good book.        ,Excitement,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0,USA,2023,3,1,13,excitement,Joy,57
 Feeling bitter about the unfairness in the workplace.   ,Bitter,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canada,2023,3,1,17,bitter,Anger,57
 Calmness prevails as I practice mindfulness.            ,Calmness,2023-03-02 18:00:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,UK,2023,3,2,18,calmness,Neutral/Other,57
 Confusion surrounds me as I navigate through life's choices. ,Confusion,2023-03-02 13:15:00, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,USA,2023,3,2,13,confusion,Neutral/Other,62
 Excitement for a weekend road trip to explore new places. ,Excitement,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023,3,2,16,excitement,Joy,59
 Kindness witnessed today restores my faith in humanity.  ,Kind,2023-03-03 11:30:00, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0,USA,2023,3,3,11,kind,Joy,58
 Pride in accomplishing personal and professional goals.  ,Pride,2023-03-03 14:30:00, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,12.0,25.0,Canada,2023,3,3,14,pride,Joy,58
 Shame for not being true to my values in a difficult situation.,Shame,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15.0,30.0,UK,2023,3,3,12,shame,Guilt,64
" Revisiting old memories, feeling a sense of elation. ",Elation,2010-05-15 15:30:00, NostalgiaFan    ,Twitter, #Elation #Memories                             ,20.0,40.0,Canada,2010,5,15,15,elation,Joy,54
 The victory of our team brought euphoria to the city. ,Euphoria,2021-08-10 21:15:00, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,15.0,30.0,USA,2021,8,10,21,euphoria,Joy,55
" Embracing the beauty of nature, a moment of contentment. ",Contentment,2011-06-20 14:45:00, NatureLover2    ,Facebook, #Contentment #Nature                           ,25.0,50.0,India,2011,6,20,14,contentment,Joy,58
" Meditating by the serene lake, finding inner peace.   ",Serenity,2022-02-12 18:20:00, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,18.0,35.0,UK,2022,2,12,18,serenity,Joy,55
 Overflowing with gratitude for life's blessings.      ,Gratitude,2012-11-25 10:00:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30.0,60.0,Australia,2012,11,25,10,gratitude,Joy,55
" Hopeful for a brighter tomorrow, despite challenges.  ",Hope,2013-04-05 19:30:00, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,22.0,45.0,USA,2013,4,5,19,hope,Joy,55
 Empowered to make a difference in my community.        ,Empowerment,2014-09-14 08:30:00, CommunityLeader ,Twitter, #Empowerment #Community                        ,15.0,30.0,UK,2014,9,14,8,empowerment,Joy,56
 Compassion in action: supporting a local charity event. ,Compassion,2015-07-18 14:20:00, CharitySupporter,Instagram, #Compassion #CharityEvent                   ,18.0,35.0,Canada,2015,7,18,14,compassion,Joy,57
" A moment of tenderness, connecting with loved ones.    ",Tenderness,2016-02-23 19:45:00, LovingHeart     ,Facebook, #Tenderness #FamilyTime                       ,25.0,50.0,UK,2016,2,23,19,tenderness,Joy,56
 Arousal of excitement as I await a special announcement.,Arousal,2017-10-30 11:30:00, ExcitementFan   ,Twitter, #Arousal #Excitement                           ,20.0,40.0,Australia,2017,10,30,11,arousal,Joy,57
 Enthusiastically diving into a new project.            ,Enthusiasm,2018-06-15 16:00:00, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,15.0,30.0,USA,2018,6,15,16,enthusiasm,Joy,56
 Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,2019-03-28 18:20:00, MilestoneAchiever,Facebook, #Fulfillment #Milestone                       ,22.0,45.0,India,2019,3,28,18,fulfillment,Joy,59
 Reverence for the beauty of a historic landmark.       ,Reverence,2019-11-11 15:00:00, HistoryLover    ,Twitter, #Reverence #History                           ,18.0,35.0,UK,2019,11,11,15,reverence,Joy,56
 Elation after a surprise reunion with old friends.    ,Elation,2020-04-02 09:30:00, JoyfulReunion2  ,Instagram, #Elation #OldFriends                          ,25.0,50.0,Canada,2020,4,2,9,elation,Joy,55
 The euphoria of a live music concert under the stars.  ,Euphoria,2021-06-19 14:45:00, MusicEnthusiast ,Facebook, #Euphoria #LiveMusic                          ,15.0,30.0,USA,2021,6,19,14,euphoria,Joy,56
 Contentment in the simplicity of a quiet Sunday.       ,Contentment,2010-08-15 10:00:00, SimpleJoys      ,Twitter, #Contentment #SundayMood                      ,30.0,60.0,Australia,2010,8,15,10,contentment,Joy,56
 Serenity found in the pages of a favorite book.        ,Serenity,2011-09-22 19:30:00, BookLover3      ,Instagram, #Serenity #BookTime                           ,22.0,45.0,UK,2011,9,22,19,serenity,Joy,56
 Gratitude for the support received during tough times. ,Gratitude,2012-03-10 08:30:00, SupportiveFriend,Facebook, #Gratitude #Supportive                        ,15.0,30.0,India,2012,3,10,8,gratitude,Joy,56
 Hopeful about the possibilities of a new journey.      ,Hope,2013-12-05 16:00:00, JourneyOptimist ,Twitter, #Hope #NewBeginnings                          ,18.0,35.0,Canada,2013,12,5,16,hope,Joy,56
 Empowerment through learning and personal growth.      ,Empowerment,2014-07-20 11:30:00, GrowthSeeker    ,Instagram, #Empowerment #PersonalGrowth                  ,25.0,50.0,USA,2014,7,20,11,empowerment,Joy,56
 Compassion towards those in need during the holidays.  ,Compassion,2015-12-22 14:20:00, HolidayHelper   ,Facebook, #Compassion #HolidaySupport                   ,18.0,35.0,USA,2015,12,22,14,compassion,Joy,56
 Tenderness in the warmth of a cozy winter evening.     ,Tenderness,2016-02-10 19:45:00, WinterWarmth    ,Twitter, #Tenderness #CozyEvening                     ,25.0,50.0,UK,2016,2,10,19,tenderness,Joy,56
 Arousal of excitement for an upcoming adventure.       ,Arousal,2017-04-30 11:30:00, AdventureAwaits ,Instagram, #Arousal #AdventureTime                       ,20.0,40.0,Australia,2017,4,30,11,arousal,Joy,56
 Enthusiasm for a creative project in the making.       ,Enthusiasm,2018-09-15 16:00:00, CreativeSpirit  ,Facebook, #Enthusiasm #Creativity                       ,15.0,30.0,Canada,2018,9,15,16,enthusiasm,Joy,56
 Fulfillment in completing a challenging workout routine.,Fulfillment,2019-06-28 18:20:00, FitnessAchiever ,Twitter, #Fulfillment #FitnessGoals                   ,22.0,45.0,India,2019,6,28,18,fulfillment,Joy,57
 Reverence for the artistry displayed in a museum.      ,Reverence,2020-11-11 15:00:00, ArtAppreciator  ,Instagram, #Reverence #ArtAppreciation                  ,18.0,35.0,UK,2020,11,11,15,reverence,Joy,56
 Elation after achieving a personal goal.               ,Elation,2021-03-02 09:30:00, GoalAchiever2   ,Facebook, #Elation #PersonalAchievement                ,25.0,50.0,USA,2021,3,2,9,elation,Joy,56
 Elation over discovering a hidden gem in the city.   ,Elation,2012-02-18 14:30:00, UrbanExplorer2  ,Twitter, #Elation #HiddenGem                            ,20.0,40.0,USA,2012,2,18,14,elation,Joy,54
 The euphoria of a surprise birthday celebration.     ,Euphoria,2018-11-05 21:45:00, BirthdayJoy     ,Instagram, #Euphoria #BirthdaySurprise                   ,15.0,30.0,UK,2018,11,5,21,euphoria,Joy,54
 Contentment in the simplicity of a home-cooked meal. ,Contentment,2015-09-12 13:20:00, HomeChef        ,Facebook, #Contentment #HomeCooking                     ,25.0,50.0,India,2015,9,12,13,contentment,Joy,54
 Serenity found in the melody of a peaceful piano.    ,Serenity,2016-07-30 18:10:00, MusicLover4     ,Twitter, #Serenity #PeacefulMelody                    ,18.0,35.0,Canada,2016,7,30,18,serenity,Joy,54
 Gratitude for the supportive community around me.    ,Gratitude,2013-04-20 10:30:00, CommunityLove   ,Instagram, #Gratitude #CommunitySupport                   ,30.0,60.0,USA,2013,4,20,10,gratitude,Joy,54
